Timestamp,Used_Mem(MB),Avail_Mem(MB),GPU0_Util(%),GPU0_MemUsed(MB),GPU0_MemFree(MB)
2025-03-21 10:48:56,1863,13502,80,17493,5098
2025-03-21 10:49:01,1917,13449,100,17493,5098
2025-03-21 10:49:06,1853,13514,80,17493,5098
2025-03-21 10:49:12,1872,13494,80,17493,5098
2025-03-21 10:49:17,1884,13482,80,17493,5098
2025-03-21 10:49:22,1870,13496,100,17493,5098
2025-03-21 10:49:27,1867,13500,80,17493,5098
2025-03-21 10:49:33,1827,13538,80,17493,5098
2025-03-21 10:49:38,1806,13561,100,17493,5098
2025-03-21 10:49:43,1862,13504,80,17493,5098
2025-03-21 10:49:48,1894,13473,100,17493,5098
2025-03-21 10:49:53,1870,13497,80,17493,5098
2025-03-21 10:49:59,1879,13488,100,17493,5098
2025-03-21 10:50:04,1841,13526,94,17493,5098
2025-03-21 10:50:09,1851,13516,80,17493,5098
2025-03-21 10:50:14,1803,13564,100,17493,5098
2025-03-21 10:50:20,1826,13542,100,17493,5098
2025-03-21 10:50:25,1816,13551,100,17493,5098
2025-03-21 10:50:30,1843,13525,80,17493,5098
2025-03-21 10:50:35,1864,13502,80,17493,5098
2025-03-21 10:50:41,1915,13452,80,17493,5098
2025-03-21 10:50:46,1905,13462,100,17493,5098
2025-03-21 10:50:51,1889,13478,100,17493,5098
2025-03-21 10:50:56,1905,13462,80,17493,5098
2025-03-21 10:51:01,1841,13526,80,17493,5098
2025-03-21 10:51:07,1884,13482,100,17493,5098
2025-03-21 10:51:12,1817,13550,90,17493,5098
2025-03-21 10:51:17,1807,13560,100,17493,5098
2025-03-21 10:51:22,1789,13577,80,17493,5098
2025-03-21 10:51:28,1814,13552,100,17493,5098
2025-03-21 10:51:33,1899,13467,80,17493,5098
2025-03-21 10:51:38,1888,13479,80,17493,5098
2025-03-21 10:51:43,1914,13452,80,17493,5098
2025-03-21 10:51:49,1870,13496,100,17493,5098
2025-03-21 10:51:54,1900,13467,80,17493,5098
2025-03-21 10:51:59,1856,13510,64,17493,5098
2025-03-21 10:52:04,1842,13523,80,17493,5098
2025-03-21 10:52:09,1883,13484,80,17493,5098
2025-03-21 10:52:15,1860,13506,100,17493,5098
2025-03-21 10:52:20,1866,13500,87,17493,5098
2025-03-21 10:52:25,1821,13545,100,17493,5098
2025-03-21 10:52:30,1793,13573,80,17493,5098
2025-03-21 10:52:36,1856,13510,100,17493,5098
2025-03-21 10:52:41,1837,13529,90,17493,5098
2025-03-21 10:52:46,1798,13568,80,17493,5098
2025-03-21 10:52:51,1833,13532,80,17493,5098
2025-03-21 10:52:57,1865,13504,100,17493,5098
2025-03-21 10:53:02,1806,13561,89,17493,5098
2025-03-21 10:53:07,1846,13521,89,17493,5098
2025-03-21 10:53:12,1941,13424,80,17493,5098
2025-03-21 10:53:17,1916,13450,100,17493,5098
2025-03-21 10:53:23,1881,13485,80,17493,5098
2025-03-21 10:53:28,1816,13550,84,17493,5098
2025-03-21 10:53:33,1812,13554,100,17493,5098
2025-03-21 10:53:38,1895,13471,80,17493,5098
2025-03-21 10:53:44,1891,13475,80,17493,5098
2025-03-21 10:53:49,1881,13486,81,17493,5098
2025-03-21 10:53:54,1862,13505,100,17493,5098
2025-03-21 10:53:59,1865,13501,100,17493,5098
2025-03-21 10:54:05,1808,13558,80,17493,5098
2025-03-21 10:54:10,1876,13491,80,17493,5098
2025-03-21 10:54:15,1799,13567,80,17493,5098
2025-03-21 10:54:20,1845,13521,100,17493,5098
2025-03-21 10:54:25,1848,13519,80,17493,5098
2025-03-21 10:54:31,1844,13522,80,17493,5098
2025-03-21 10:54:36,1861,13505,100,17493,5098
2025-03-21 10:54:41,1816,13551,80,17493,5098
2025-03-21 10:54:46,1825,13542,100,17493,5098
2025-03-21 10:54:52,1813,13554,80,17493,5098
2025-03-21 10:54:57,1859,13507,100,17493,5098
2025-03-21 10:55:02,1900,13467,80,17493,5098
2025-03-21 10:55:07,1896,13470,80,17493,5098
2025-03-21 10:55:13,1899,13467,86,17493,5098
2025-03-21 10:55:18,1876,13490,100,17493,5098
2025-03-21 10:55:23,1861,13505,80,17493,5098
2025-03-21 10:55:28,1853,13514,94,17493,5098
2025-03-21 10:55:33,1892,13475,95,17493,5098
2025-03-21 10:55:39,1827,13542,80,17493,5098
2025-03-21 10:55:44,1856,13511,100,17493,5098
2025-03-21 10:55:49,1829,13537,80,17493,5098
2025-03-21 10:55:54,1834,13532,80,17493,5098
2025-03-21 10:56:00,1828,13538,100,17493,5098
2025-03-21 10:56:05,1858,13506,80,17493,5098
2025-03-21 10:56:10,1837,13529,100,17493,5098
2025-03-21 10:56:15,1827,13539,80,17493,5098
2025-03-21 10:56:21,1827,13539,100,17493,5098
2025-03-21 10:56:26,1804,13562,80,17493,5098
2025-03-21 10:56:31,1883,13484,98,17493,5098
2025-03-21 10:56:36,1865,13501,80,17493,5098
2025-03-21 10:56:42,1878,13488,100,17493,5098
2025-03-21 10:56:47,1844,13522,80,17493,5098
2025-03-21 10:56:52,1868,13498,80,17493,5098
2025-03-21 10:56:57,1868,13499,90,17493,5098
2025-03-21 10:57:02,1847,13520,99,17493,5098
2025-03-21 10:57:08,1814,13553,100,17493,5098
2025-03-21 10:57:13,1834,13533,86,17493,5098
2025-03-21 10:57:18,1857,13509,81,17493,5098
2025-03-21 10:57:23,1837,13529,80,17493,5098
2025-03-21 10:57:29,1886,13481,100,17493,5098
2025-03-21 10:57:34,1837,13530,82,17493,5098
2025-03-21 10:57:39,1827,13540,81,17493,5098
2025-03-21 10:57:44,1801,13565,100,17493,5098
2025-03-21 10:57:50,1854,13513,80,17493,5098
2025-03-21 10:57:55,1878,13489,100,17493,5098
2025-03-21 10:58:00,1878,13489,80,17493,5098
2025-03-21 10:58:05,1893,13473,80,17493,5098
2025-03-21 10:58:10,1862,13504,100,17493,5098
2025-03-21 10:58:16,1849,13517,80,17493,5098
2025-03-21 10:58:21,1891,13476,89,17493,5098
2025-03-21 10:58:26,1901,13466,99,17493,5098
2025-03-21 10:58:31,1854,13513,80,17493,5098
2025-03-21 10:58:37,1832,13535,100,17493,5098
2025-03-21 10:58:42,1824,13542,83,17493,5098
2025-03-21 10:58:47,1760,13607,100,17493,5098
2025-03-21 10:58:52,1858,13510,80,17493,5098
2025-03-21 10:58:58,1988,13379,80,17493,5098
2025-03-21 10:59:03,1915,13451,80,17493,5098
2025-03-21 10:59:08,1870,13497,80,17493,5098
2025-03-21 10:59:13,1915,13451,100,17493,5098
2025-03-21 10:59:18,1874,13493,80,17493,5098
2025-03-21 10:59:24,1889,13479,100,17493,5098
2025-03-21 10:59:29,1857,13510,80,17493,5098
2025-03-21 10:59:34,1866,13500,100,17493,5098
2025-03-21 10:59:39,1884,13482,82,17493,5098
2025-03-21 10:59:45,1894,13472,80,17493,5098
2025-03-21 10:59:50,1801,13565,89,17493,5098
2025-03-21 10:59:55,1816,13550,80,17493,5098
2025-03-21 11:00:00,1870,13496,100,17493,5098
2025-03-21 11:00:06,1786,13581,100,17493,5098
2025-03-21 11:00:11,1832,13534,80,17493,5098
2025-03-21 11:00:16,1858,13508,83,17493,5098
2025-03-21 11:00:21,1826,13540,100,17493,5098
2025-03-21 11:00:26,1858,13509,80,17493,5098
2025-03-21 11:00:32,1787,13579,80,17493,5098
2025-03-21 11:00:37,1839,13530,100,17493,5098
2025-03-21 11:00:42,1799,13568,80,17493,5098
2025-03-21 11:00:47,1843,13523,100,17493,5098
2025-03-21 11:00:53,1864,13503,80,17493,5098
2025-03-21 11:00:58,1905,13461,80,17493,5098
2025-03-21 11:01:03,1880,13487,100,17493,5098
2025-03-21 11:01:08,1863,13504,80,17493,5098
2025-03-21 11:01:14,1861,13506,80,17493,5098
2025-03-21 11:01:19,1832,13534,80,17493,5098
2025-03-21 11:01:24,1812,13554,100,17493,5098
